TECHNIQUE ATT&CK ID, CONGLOMERATE CVSS 3.1 RISK SCORES FROM CVE SCRAPING, LIST OF CVE ID MATCHING TECHNIQUE
T1547, {'baseScore': 7.85, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'HIGH', 'privilegesRequired': 'LOW'}
T1003.004, {'baseScore': 6.65, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'HIGH', 'privilegesRequired': 'NONE'}
T1600, {'baseScore': 6.27, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'LOW', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1606.002, {'baseScore': 6.0, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1036.008, {'baseScore': 6.79, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'HIGH', 'privilegesRequired': 'LOW'}
T1489, {'baseScore': 6.68, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'LOW', 'integrityImpact': 'LOW', 'availabilityImpact': 'HIGH', 'privilegesRequired': 'LOW'}
T1587.001, {'baseScore': 5.92, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'LOW', 'integrityImpact': 'LOW', 'availabilityImpact': 'HIGH', 'privilegesRequired': 'LOW'}
T1652, {'baseScore': 6.65, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'LOW', 'availabilityImpact': 'HIGH', 'privilegesRequired': 'LOW'}
T1087.002, {'baseScore': 6.9, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1547.014, {'baseScore': 6.78, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1564, {'baseScore': 7.56, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'LOW', 'integrityImpact': 'HIGH', 'availabilityImpact': 'HIGH', 'privilegesRequired': 'LOW'}
T1559.002, {'baseScore': 6.43, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'LOW', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1204.002, {'baseScore': 6.64, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'HIGH', 'privilegesRequired': 'LOW'}
T1591.003, {'baseScore': 5.86, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'LOW', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1592.001, {'baseScore': 7.88, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'HIGH', 'privilegesRequired': 'LOW'}
T1080, {'baseScore': 6.15, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'LOW', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1484.002, {'baseScore': 7.12, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1573.001, {'baseScore': 7.58, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'HIGH', 'privilegesRequired': 'LOW'}
T1087.001, {'baseScore': 6.43, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1586.001, {'baseScore': 6.47, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1562.009, {'baseScore': 6.22, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'LOW', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
